region,value
10002,1.0
10003,1.0
10009,1.0
10013,1.0
10025,1.0
10026,1.0
10027,1.0
10029,1.0
10030,1.0
10031,1.0
10032,1.0
10034,1.0
10035,1.0
10037,1.0
10039,1.0
10451,0.0
10452,0.0
10453,0.0
10454,1.0
10455,1.0
10456,1.0
10457,1.0
10461,0.0
10463,0.0
10467,0.0
10468,0.0
10472,0.0
10473,0.0
11101,1.0
11102,1.0
11103,1.0
11104,1.0
11105,1.0
11106,1.0
11204,0.0
11205,1.0
11206,1.0
11207,0.0
11208,0.0
11211,1.0
11212,1.0
11213,1.0
11214,0.0
11216,1.0
11220,1.0
11221,1.0
11222,1.0
11223,0.0
11224,0.0
11225,1.0
11233,1.0
11237,1.0
11238,1.0
10033,1.0
10040,1.0
11232,1.0
11249,1.0
